Albert,Smidth,albert_smidth@dotlrn.test,,student,1,f
John,White,john_white@dotlrn.test,,student,1,f
Samuel, Williamson, samuel_williamson@dotlrn.test,,student,1,f
Tracy, Hill, tracy_hill@dotlrn.test,,student,1,f
Katharina, Cohen, katharina_cohen@dotlrn.test,,student,1,f
Mikael, Hansson, mikael_hansson@dotlrn.test,,student,1,f
Andreas, Svensson, andreas_svensson@dotlrn.test,,student,1,f
Amanda,Edmonds,amanda_edmonds@dotlrn.test,,professor,1,f
John,Cameron,john_cameron@dotlrn.test,,professor,1,f
Albert,Einstein,albert_einstein@dotlrn.test,,admin,1,f
Marie,Curie,marie_curie@dotlrn.test,,admin,1,f
Niels,Bohr,niels_bohr@dotlrn.test,,admin,1,f
Bertrand,Russel,bertrand_russel@dotlrn.test,,admin,1,f
Isaac,Newton,isaac_newton@dotlrn.test,,admin,1,f
Adam,Nowak,adam_nowak@dotlrn.test,,external,0,t
